qe_oe_m75,qe_oe_m75_wl,qe_oe_m100,qe_oe_m100_wl,qe_oe_p20,qe_oe_p20_wl
0.1,200,0.1,200,0.1,200
0.2646,250,0.2625,250,0.268,250
0.1887,270,0.1885,270,0.189,270
0.3158,300,0.3205,300,0.308,300
0.2687,320,0.2715,320,0.264,320
0.3193,350,0.32,350,0.318,350
0.1894,380,0.192,380,0.185,380
0.2438,400,0.2485,400,0.236,400
0.2312,440,0.2415,440,0.214,440
0.2219,460,0.232,460,0.205,460
0.2944,490,0.3055,490,0.276,490
0.3925,520,0.406,520,0.37,520
0.4506,550,0.4665,550,0.424,550
0.4569,600,0.4725,600,0.431,600
0.4624,640,0.474,640,0.4429999999999999,640
0.4868,680,0.4945000000000001,680,0.474,680
0.4958,700,0.5004999999999999,700,0.488,700
0.5284,720,0.5305,720,0.525,720
0.5682,750,0.5605,750,0.581,750
0.5515,780,0.532,780,0.584,780
0.4863,810,0.4565,810,0.536,810
0.3754999999999999,850,0.338,850,0.4379999999999999,850
0.3147,880,0.2725,880,0.385,880
0.2633,900,0.219,900,0.337,900
0.1876,930,0.146,930,0.257,930
0.1391,950,0.1025,950,0.2,950
0.0073,1064,0.0015,1064,0.017,1064
